Name,Page,School,Level,Casting Time,Range,Componants,Duration,Body
Clone,222,Necromancy,8,1 hour,Touch,"vsm(a diamond worth at least 1,000 gp and at least 1 cubic inch of flesh of the creature that is to be cloned, which the spell consumes, and a vessel worth at least 2,000 gp that has a sealable lid an is large enough to hold a Medium creature, such as a huge urn, coffin, mud-filled cyst in the ground, or crystal container filled with salt water)",Instantaneous,"This spell grows an inert duplicate of a living creature as a safeguard against death. This clone forms inside a sealed vessel and grows to full size and maturity after 120 days; you can also choose to have the clone be a younger version of the same creature. lt remains inert and endures indefinitely, as long as its vessel remains undisturbed. At any time after the clone matures, if the original creature dies, its soul transfers to the clone, provided that the soul is free and willing to return. The clone is physically identical to the original and has the same personality, memories, and abilities, but none of the original's equipment. The original creature's physical remains, if they still exist, become inert and can't thereafter be restored to life, since the creature's souI is elsewhere."
Cloud of Daggers,222,Conjuration,2,1 action,60,vsm(a sliver of glass),1 minute C,"You fill the air with spinning daggers in a cube 5 feet on each side, centered on a point you choose within range. A creature takes 4d4 slashing damage when it enters the spell's area for the first time on a turn ar starts its turn there. At Higher Levels. When you cast this spell using a spell slot of 3rd level ar higher, the damage increases by 2d4 for each slot level above 2nd."
Cloudkill,222,Conjuration,5,1 action,120,vs,10 minutes C,"You create a 20-foot-radius sphere of poisonous, yellow-green fog centered on a point you choose within range. The fog spreads around corners. lt lasts for the duration or until strong wind disperses the fog, ending the spell. lts area is heavily obscured. When a creature enters the spell's area for the first time on a turn or starts its turn there, that creature must make a Constitution saving throw. The creature takes 5d8 poison damage on a failed save, ar half as much damage on a successful one, Creatures are affected even if they hold their breath or don't need to breathe. The fog moves 10 feet away from you at the start of each of your turns, rolling along the surface of the ground. The vapors, being heavier than air, sink to the lowest level of the land, even pouring down openings. At Higher Levels. When you cast this spell using a spell slot of 6th level ar higher, the damage increases by 1d8 for each slot level above 5th."
Color Spray,222,Illusion,1,1 action,Self(15c),"vsm(a pinch of powder or sand that is colored red, yellow, and blue)",1 round,"A dazzling array of flashing, colored light springs from your hand. Roll 6d10; the total is how many hit points of creatures this spell can effect. Creatures in a 15-foot cone originating from you are affected in ascending order of their current hit points (ignoring unconscious creatures and creatures that can't see). Starting with the creature that has the lowest current hit points, each creature affected by this spell is blinded until the spell ends, Subtract each creature's hit points from the total before moving on to the creature with the next lowest hit points. A creature's hit points must be equal to or less than the remaining total for that creature to be affected, At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, roll an additional 2d10 for each slot level above 1st.
"
Command,223,Enchantment,1,1 action,60,v,1 round,"You speak a one-word command to a creature you can see within range. The target must succeed on a Wisdom saving throw or follow the command on its next turn. The spell has no effect if the target is undead, if it doesn't understand your language, or if your command is directly harmful to it. Some typical commands and their effects follow. You might issue a command other than one described here. If you do so, the DM determines how the target behaves. If the target can't follow your command, the spell ends. Approach. The target moves toward you by the shortest and most direct route, ending its turn if it moves within 5 feet of you. Drop. The target drops whatever it is holding and then ends its turn. Flee. The target spends its turn moving away from you by the fastest available means. Grovel. The target falls prone and then ends its turn. Halt. The target doesn't move and takes no actions. A flying creature stays aloft, provided that it is able to do ss. If it must move to stay aloft, it flies the minimum distance needed to remain in the air. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them."
Commune,223,Divination (ritual),5,1 minute,Self,vsn(incense and a vial of holy or unholy water),1 minute,"You contact your deity or a divine proxy and ask up to three questions that can be answered with a yes or no. You must ask your questions before the spell ends. You receive a correct answer for each question. Divine beings aren't necessarily omniscient, so you might receive ""unclear"" as an answer if a question pertains to information that lies beyond the deity's knowledge. In a case where a one-word answer could be misleading or contrary to the deity's interests, the DM might offer a short phrase as an answer instead. If you cast the spell two or more times before finishing your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer. The DM makes this roll in secret."
Commune with Nature,224,Divination (ritual),5,1 minute,self,vs,Instantaneous,"You briefly become one with nature and gain knowledge of the surrounding territory. In the outdoors, the spell gives you knowledge of the land within 3 miles of you. In caves and other natural underground settings, the radius is Iimited to 300 feet. The spell doesn't function where nature has been replaced by construction, such as in dungeons and towns. You instantly gain knowledge of up to three facts of your choice about any of the following subjects as they relate to the area: * terrain and bodies of water * prevalent plants, minerais, animais, or peoples * powerful celestiaIs, fey, fiends, elementals, or undead * influence from other planes of existence *buildings For example, you could determine the location of powerful undead in the area, the location of major sources of safe drinking water, and the location of any nearby towns."
Compelled Duel,224,Enchantment,1,1 bonus action,30,v,1 minute C,"You attempt to compel a creature into a dueI. One creature that you can see within range must make a Wisdom saving throw. On a failed save, the creature is drawn to you, compelled by your divine demand. For the duration, it has disadvantage on attack rolls against creatures other than you, and must make a Wisdom saving throw each time it attempts to move to a space that is more than 30 feet away from you; if it succeeds on this saving throw, this spell doesn't restrict the target's movement for that turn. The spell ends if you attack any other creature, if you cast a spell that targets a hostile creature other than the target, if a creature friendly to you damages the target or casts a harmful spell on it, or if you end your turn more than 30 feet away from the target."
Comprehend Languages,224,Divination (ritual),1,1 action,Self,vsm(a pinch of soot and salt),1 hour,"For the duration, you understand the literal meaning of any spoken language that you hear. You also understand any written language that you see, but you must be touching the surface on which the words are written. It takes about 1 minute to read one page of text. This speIl doesn't decode secret messages in a text
or a glyph, such as an arcane sigil, that isn't part of a
written language."
Compulsion,224,Enchantment,4,1 action,30,vs,1 minute C,"Creatures of your choice that you can see within range and that can hear you must make a Wisdom saving throw. A target automatically succeeds on this saving throw if it can't be charmed. On a failed save, a target is affected by this spelI. Until the speIl ends, you can use a bonus action on each of your turns to designate a direction that is horizontal to you. Each affected target must use as much of its movement as possible to move in that direction on its next turn. It can take its action before it moves. After moving in this way, it can make another Wisdom saving to try to end the effect. A target isn't compeIled to move into an obviously deadly hazard, such as a fire or pit, but it will provoke opportunity attacks to move in the designated direction."
Cone of Cold,224,Evocation,5,1 action,Self(60c),vsm(a small crystal or glass cone),Instantaneous,"A blast of cold air erupts from your hands. Each creature in a 60-foot cone must make a Constitution saving throw. A creature takes 8d8 cold damage on a failed save, or half as much damage on a successful one. A creature killed by this spell becomes a frozen statue until it thaws. At Higher LeveIs. When you cast this speIl using a spell slot of 6th level or higher, the damage increases by 1d8 for each slot level above 5th."
Confusion,224,Enchantment,4,1 action,90,vsm(three nut shells),1 minute C,
Conjure Animals,225,Conjuration,3,1 action,60,vs,1 hour C,"You summon fey spirits that take the form of beasts and appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears: * One beast of challenge rating 2 or lower * Two beasts of challenge rating 1 or lower * Four beasts of challenge rating 1/2 or lower * Eight beasts of challenge rating 1/4 ar lower Each beast is also considered fey, and it disappears when it drops to 0 hit points or when the spell ends. The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group, which has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to them, they defend themselves from hostile creatures, but otherwise take no actions. The DM has the creatures' statistics. At Higher LeveIs. When you cast this spell using certain higher-Ievel spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 5th-level slot, three times as many with a 7th-level slot, and four times as many with a 9th-level slot."
Conjure Barrage,225,Conjuration,3,1 action,Self(60c),vsm(one piece of ammunition or a thrown weapon),Instantaneous,"You throw a nonmagical weapon or fire a piece of nonmagicaI ammunition into the air to create a cone of identical weapons that shoot forward and then disappear. Each creature in a 60-foot cone must succeed on a Dexterity saving throw. A creature takes 3d8 damage on a failed save, or half as much damage on a successful one. The damage type is the same as that of the weapon or ammunition used as a component."
Conjure Celestial,225,Conjuration,7,1 minute,90,vs,1 hour C,"You summon a celestial of challenge rating 4 or lower, which appears in an unoccupied space that you can see within range. The celestial disappears when it drops to 0 hit points or when the spell ends. The celestial is friendly to you and your companions for the duration. Roll initiative for the celestial, which has its own turns. It obeys any verbal commands that you issue to it (no action required by you), as long as they don't violate its alignment. If you don't issue any commands to the celestial, it defends itself from hostile creatures but otherwise takes no actions. The DM has the celestial's statistics. At Higher LeveIs. When you cast this spell using a 9th-level spell slot, you summon a celestial of challenge rating 5 or lower."
Conjure Elemental,225,Conjuration,5,1 minute,90,"vsm(burning incense for air, soft clay for earth, sulpher and phosphorus for fire, or water and sand for water)",1 hour C,"You call forth an elemental servant. Choose an area of air, earth, !ire, or water that fills a 10-foot cube within range. An elemental of challenge rating 5 or lower appropriate to the area you chose appears in an unoccupied space within 10 feet of it. For example, a fire elemental emerges from a bonfire, and an earth elemental rises up fram the ground. The elemental disappears when it drops to 0 hit points or when the spell ends. The elemental is friendly to you and your companions for the duration. Roll initiative for the elemental, which has its own turns. lt obeys any verbal commands that you issue to it (no action required by you). If you don't issue any commands to the elemental, it defends itself from hostile creatures but otherwise takes no actions. If your concentration is broken, the elemental doesn't disappear. Instead, you lose control of the elemental, it becomes hostile toward you and your companions, and it might attack. An uncontrolled elemental can't be dismissed by you, and it disappears 1 hour after you summoned it. The DM has the elemental's statistics. At Higher LeveIs. When you cast this spell using a spell slot of 6th level or higher, the challenge rating increases by 1 for each slot level above 5th."
Conjure Fey,226,Conjuration,6,1 minute,90,vs,1 hour C,"You summon a fey creature of challenge rating 6 or lower, or a fey spirit that takes the form of a beast of challenge rating 6 or lower. lt appears in an unoccupied space that you can see within range, The fey creature disappears when it drops to 0 hit points or when the spell ends. The fey creature is friendly to you and your companions for the duration. Roll initiative for the creature, which has its own turns. lt obeys any verbal commands that you issue to it (no action required by you), as long as they don't violate its alignment. If you don't issue any commands to the fey creature, it defends itself from hostile creatures but otherwise takes no actions. If your concentration is broken, the fey creature doesn't disappear. Instead, you lose control of the fey creature, it becomes hostile toward you and your companions, and it might attack. An uncontrolled fey creature can't be dismissed by you, and it disappears 1 hour after you summoned it. The DM has the fey creature's statistics. At Higher LeveIs. When you cast this spell using a spell slot of 7th level or higher, the challenge rating increases by 1 for each slot level above 6th."
Conjur Minor Elementals,226,Conjuration,4,1 minute,90,vs,1 hour C,"You summon elementals that appear in unoccupied spaces that you can see within range. You choose one the following options for what appears: * One elemental of challenge rating 2 or lower * Two elementals of challenge rating 1 or lower * Four elementals of challenge rating 1/2 or lower * Eight elementals of challenge rating 1/4 or lower. An elemental summoned by this spell disappears when it drops to 0 hit points or when the spell ends. The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group. which has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to them, they defend themselves from hostile creatures, but otherwise take no actions. The DM has the creatures' statistics. At Higher LeveIs. When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot."
Conjure Volley,226,Conjuration,5,1 action,150,vsm(one piece of ammunition or a thrown weapon),Instantaneous,"You fire a piece of nonmagical ammunition fram a ranged weapon or throw a nonmagical weapon into the air and choose a point within range. Hundreds of duplicates of the ammunition or weapon fall in a volley from above and then disappear. Each creature in a 40-foot-radius, 20-foot-high cylinder centered on that point must make a Dexterity saving throw. A creature takes 8d8 damage on a failed save, or half as much damage on a successful one. The damage type is the same as that of the ammunition or weapon."
Conjure Woodland Beings,226,Conjuration,4,1 action,60,vsm(one holly berry per creature summoned),1 hour C,"You summon fey creatures that appear in unoccupied spaces that you can see within range, Choose one of the following options for what appears: * One fey creature of challenge rating 2 or lower * Two fey creatures of challenge rating 1 or lower * Four fey creatures of challenge rating 1/2 or lower * Eight fey creatures of challenge rating 1/4 or lower A summoned creature disappears when it drops to 0 hit points or when the spell ends. The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group. which have their own turns. They obey any verbal commands that you issue to them (no action required hy you). If you don't issue any commands to them, they defend themselves from hostile creatures, but otherwise take no actions. The DM has the creatures' statistics. At Higher LeveIs. When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, anel more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot."
Contact Other Plane,226,Divination,5,1 minute,Self,v,1 mintue,"You mentally contact a demigod, the spirit of a long-dead sage, or some other mysterious entity fram another plane. Contacting this extraplanar intelligence can strain or even break your mind. When you cast this spell, make a DC 15 lntelligence saving throw. On a failure, you take 6d6 psychic damage and are insane until you finish a long rest. While insane, you can't take actions, can't understand what other creatures say, can't read, and speak only in gibberish. A greater restoration spell cast on you ends this effect. On a successful save, you can ask the entity up to five questions. You must ask your questions before the spell ends, The DM answers each question with one word, such as uyes,"" ""no,"" ""maybe,"" ""never,"" ""irrelevant."" or ""unclear"" (if the entity doesn't know the answer to the question). If a one-word answer would be misleading, the DM might instead offer a short phrase as an answer,"
Contagion,227,Necromancy,5,1 action,Touch,vs,7 days,"Your touch inflicts disease. Make a melee spell attack against a creature within your reach. On a hit, you afflict the creature with a disease of your choice from any of the ones described below. At the end of each of the target's turns, it must make a Constitution saving throw. After failing three of these saving throws, the disease's effects last for the duration, and the creature stops making these saves. After succeeding on three of these saving throws, the creature recovers from the disease, and the spell ends. Since this spell induces a natural disease in its target, any effect that removes a disease or otherwise ameliorates a disease's effects apply to it. * Blinding Sickness. Pain grips the creature's mind, and its eyes turn milky white. The creature has disadvantage on Wisdom checks and Wisdom saving throws and is blinded. * Filth Fever. A raging fever sweeps through the creature's body. The creature has disadvantage on Strength checks, Strength saving throws. and attack rolls that use Strength. * Flesh Rot. The creature's flesh decays. The creature has disadvantage on Charisma checks and vulnerability to all damage. * Mindfire. The creature's mind becomes feverish. The creature has disadvantage on Intelligence checks and Intelligence saving throws, and the creature behaves as if under the effects of the confusion spell during combat. * Seizure. The creature is overcome with shaking. The creature has disadvantage on Dexterity checks, Dexterity saving throws, and attack rolls that use Dexterity. * Slimy Doom. The creature begins to bleed uncontrollably. The creature has disadvantage on Constitution checks and Constitution saving throws. In addition, whenever the creature takes damage, it is stunned until the end of its next turn."
Contigency,227,Evocation,6,10 minutes,Self,"vsm(a statuette of yourself carved from ivory and decorated with gems worth at least 1,500 gp)",10 days,"Choose a spell of 5th level or lower that you can cast, that has a casting time of 1 action, and that can target you. You cast that spell-called the contingent spell-as part of casting contingency, expending spell slots for both, but the contingent spell doesn't come into effect. Instead, it takes effect when a certain circumstance occurs. You describe that circumstance when you cast the two spells. For example, a contingency cast with water breathing might stipulate that water breathing comes into effect when you are engulfed in water or a similar liquid. The contingent spell takes effect immediately after the circumstance is met for the first time, whether or not you want it to, and then contingency ends. The contingent spell takes effect only on you, even if it can normally target others. You can use only one contingency spell at a time. If you cast this spell again, the effect of another contingency spell on you ends. Also, contingency ends on you if its material component is ever not on your person."
Continual Flame,227,Evocation,2,1 action,Touch,"vsm(ruby dust worth 50 gp, which the spell consumes)",Until dispelled,"A flame, equivalent in brightness to a torch, springs forth from an object that you touch. The effect looks like a regular flame, but it creates no heat and doesn't use oxygen. A continuaI flame can be covered or hidden but not smothered or quenched."
Control Water,227,Transmutation,4,1 action,300,vsm(a drop of water and a pinch of dust),10 minutes C,
Control Weather,228,Transmutation,8,10 minutes,Self(r5-mile),vsm(burning incense and bits of earth and wood mixed in water),8 hours C,"You take control of the weather within 5 miles of you for the duration. You must be outdoors to cast this spell. Moving to a place where you don't have a clear path to the sky ends the spell early. When you cast the spell, you change the current weather conditions, which are determined by the DM based on the climate and season. You can change precipitation, temperature, and wind. lt takes 1d4 x 10 minutes for the new conditions to take effect. Once they do so, you can change the conditions again. When the spell ends, the weather gradually returns to normal. When you change the weather conditions, find a current condition on the following tables and change its stage by one, up or down. When changing the wind, you can change its direction. PRECIPITATION
Stage Condition
1 Clear
2 Light clouds
3 Overcast or ground fog
4 Rain, hail, or snow
5 Torrential rain, driving hail, or blizzardTEMPERATURE WIND
Stage Condition Stage Condition
1 Unbearable heat 1 Calm
2 Hot 2 Moderate wind
3 Warm 3 Strong wind
4 Cool 4 Gale
5 Cold 5 Storm
6 Arctic cold"
Cordon of Arrows,228,Transmutation,2,1 action,5,vsm(four or more arrows or bolts),8 hours,"You plant four pieces of nonmagical ammunition - arrows or crossbow bolts - in the ground within range and lay magic upon them to protect an area. Until the spell ends, whenever a creature other than you comes within 30 feet of the ammunition for the first time on a turn or ends its turn there, one piece of ammunition fiies up to strike it. The creature must succeed on a Dexterity saving throw or take 1d6 piercing damage. The piece of ammunition is then destroyed. The spell ends when no ammunition remains. When you cast this spell, you can designate any creatures you choose, and the spell ignores them. At Higher LeveIs. When you cast this spell using a spell slot of 3rd level or higher, the amount of ammunition that can be affected increases by two for each slot level above 2nd."
Counterspell,228,Abjuration,3,"1 reaction, which you take when you see a creature within 60 feet of you casting a spell",60,s,Instantaneous,"You altempt to interrupt a creature in the process of casting a spell. lf the creature is casting a spell of 3rd level or lower, its spell fails and has no effect. lf it is casting a spell of 4th level or higher, make an ability check using your spellcasting ability. The DC equals 10 + the spell's leveI. On a success, the creature's spell fails and has no effect. At Hil1her LeveIs. When you cast this spell using a spell slot of 4th level or higher, the interrupted spell has no effect if its level is less than or equal to the level of the spell slot you used."
Create Food and Water,229,Conjuration,3,1 action,30,vs,Instantaneous,"You create 45 pounds of food and 30 gallons of water on the ground or in containers within range, enough to sustain up to tifteen humanoids or tive steeds for 24 hours. The food is bland but nourishing, and spoils if uneaten after 24 hours. The water is clean and doesn't go bad."
Cerate or Destroy Water,229,Transmutation,1,1 action,30,vsm(a drop of water if creating water or a few grains of sand if destroying it),Instantaneous,"You either create or destroy water. Create Water. You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot cube within range, extinguishing exposed fiames in the area. Destroy Water. You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot cube within range. At Higher Leve/s. When you cast this spell using a spell slot of 2nd levei or higher, you create or destroy 10 additional gallons of water, or the size of the cube increases by 5 feet, for each slot leveI above 1st."
Create Undead,229,Necromancy,6,1 minute,10,"vsm(one clay pot filled with grave dirt, one clay pot filled with brackish water, and one 150 gp black onyx stone for each corpse)",Instantaneous,
Creation,229,Illusion,5,1 minute,30,vsm(a tiny piece of matter of the same type of the item you plan to create),Special,
Crown of Madness,229,Enchantment,2,1 action,120,vs,1 minute C,
Crusader's Mantle,230,Evocation,3,1 action,Self,v,1 minute C,"Holy power radiates from you in an aura with a 30-foot radius, awakening boldness in friendly creatures. Until the spell ends, the aura moves with you, centered on you. While in the aura, each nonhostile creature in the aura (including you) deals an extra Id4 radiant damage when it hits with a weapon attack."
Cure Wounds,230,Evocation,1,1 action,Touch,vs,Instantaneous,"A creature you touch regains a number of hit points equal to Id8 +your spellcasting ability modifier. This spell has no effect on undead or constructs. At Higher Leveis. When you cast this spell using a spell slot of 2nd levei or higher, the healing increases by Id8 for each slot leveI above I sI."
Dancing Lights,230,Evocation,0,1 action,120,"vsm(a bit of phosphorus or wychwood, or a glowworm)",1 minute C,"You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four Iights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a lO-foot radius. As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A Iight must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell's range."
Darkness,230,Evocation,2,1 action,60,vm(bat fur and a drop of pitch or piece of coal),10 minutes C,"Magical darkness spreads from a point you choose within range to fill a IS-foot-radius sphere for the duration. The darkness spreads around corners. A creature with darkvision can't see through this darkness, and nonmagical light can't illuminate il. If the point you choose is on an object you are holding or one that isn't being worn or carried, the darkness emanates from the object and moves with il. Completely covering the source of the darkness with an opaque object, such as a bowl or a heIm, blocks the darkness. if any of this spell's area overlaps with an area of light created by a spell of 2nd levei or lower, the spell that created the light is dispelled."
Darkvision,230,Transmutation,2,1 action,Touch,vsm(either a pinch of dried carrot or agate),8 hours,You touch a willing creature to grant it the ability to see in the dark. For the duration. that creature has darkvision out to a range of 60 feel.
Daylight,230,Evocation,3,1 action,60,vs,1 hour,"A 60-foot-radius sphere of light spreads out from a point you choose within range. The sphere is bright light and sheds dim light for an additional 60 feel. if you chose a point on an object you are holding or one that isn't being worn or carried, the light shines from the object and moves with it. Completely covering the affected object with an opaque object, such as a bowl or a helm, blocks the light. If any of this spell's area overlaps with an area of darkness created by a spell of 3rd levei or lower, the spell that created the darkness is dispelled."
Death Ward,230,Abjuration,4,1 action,Touch,vs,8 hours,"You touch a creature and grant it a measure of protection from death. The first time the target would drop to O hit points as a result of taking damage, the target instead drops to I hit point, and the spell ends. If the spell is still in effect when the target is subjected to an effect lhat would kill it instantaneously without dealing damage, that effect is instead negated against the target, and the spell ends."
Delayed Blast Fireball,230,Evocation,7,1 action,150,vsm(a tiny ball of bat guano and sulfer,1 minute C,"A beam of yellow lighl lIashes from your poinling finger, then condenses lo linger aI a chosen poinl wilhin range as a glowing bead for the duralion. When lhe spell ends, either beca use your concentration is broken OI' because you decide to end it, lhe bead blossoms with a low roar inlo an explosion of liame Ihal spreads around corners. Each crealure in a 20.fool.radius sphere centered on that point must make a Dexterity saving throw. A crealure lakes fire damage equal to lhe total accumulated damage on a failed save, OI'half as much damage on a successful one. The spell's base damage is 12d6. If at the end of your lurn lhe bead has not yet detonated, lhe damage increases by Id6. if the glowing bead is touched before the interval has expired, lhe creature touching it must make a Dexterity saving throw. On a failed save, the spell ends immediately, causing the bead 10erupt in liame. On a successful save, the crealure can throw the bead up to 40 fee!. When it strikes a creature 01' a solid objecl, the spell ends, and lhe bead explodes. The fire damages objecls in the area and ignites lIammable objecls that aren'l being worn OI'carried. At Higher Leve/s. When you cast this spell using a spell slot of 8th leveI OI'higher, lhe base damage increases by Id6 for each sI01leveI above 71h"
Demiplane,231,Conjuration,8,1 action,60,s,1 hour,"You create a shadowy door on a lIat solid surface that you can see within range. The door is large enough to allow Medium creatures lo pass through unhindered. When opened, lhe door leads lo a demiplane Ihat appears to be an empty room 30 feet in each dimension, made of wood 01' stone. When the spell ends, the door disappears, and any crealures 01' objects inside the demiplane remain trapped Ihere, as lhe door also disappears from the olheI' side. Each time you casl this spell, you can create a new demiplane, OI'have the shadowy doar connect to a demiplane you created with a previous casting of this spell. Additionally, if you know the nature and contents of a demiplane created bya casting of this spell by another creature, you can have lhe shadowy door connecl to its demiplane inslead."
Destructive Wave,231,Evocation,5,1 action,Self(30r),v,Instantaneous,"You strike the ground, creating a burst of divine energy that ripples oulward ftom you. Each creature you choose within 30 feet of you must succeed on a Conslitution saving throw OI'take 5d6 thunder damage, as well as 5d6 radiant OI'necrotic damage (your choice), and be knocked prone. A creature that succeeds on its saving throw takes half as much damage and isn't knocked prone."
Detect Good and Evil,231,Divination,1,1 action,Self,vs,10 minutes C,"For the duralion, you know if Ihere is an aberration, celestial, elemenlal, fey, fiend, OI'undead within 30 feet of you, as well as where lhe crealure is located. Similarly, you know if there is a place 01' object within 30 feet of you Ihat has been magically consecrated OI'desecrated. The spell can penetrate most barriers, but it is blocked by I fool of slone, I inch of common metal, a thin sheel of lead, OI'3 feel of wood OI'dir!."
Detect Magic,231,Divination (ritual),1,1 action,Self,vs,10 minutes C,"For the duration, you sense the presence of magic wilhin 30 feet of you. if you sense magic in Ihis way, you can use your action to see a faint aura around any visible creature OI'object in the area that bears magic, and you learn its school of magic. if any. The spell can penetrate most barriers, but it is blocked by I foot of slone, I inch of common metal, a Ihin sheel of lead, OI'3 feet of wood OI'di r!."
Detect Poison and Disease,231,Divination (ritual),1,1 action,Self,vsm(a yew leaf),10 minutes C,"For the duration, you can sense the presence and location of poisons, poisonous creatures, and diseases within 30 feel of you. You also identify the kind of poison, poisonous creature, ar disease in each case. The spell can penelrate most barriers, but it is blocked by I foot of slone, I inch of common metal, a thin sheet of lead, OI'3 feet of wood OI'dir!."
Detect Thoughts ,231,Divination,2,1 action,Self,vsm(a copper piece),1 minute C,"For the duration, you can read the thoughts of certain creatures, When you cast the spell and as your action on each turn until the spell ends, you can focus your mind on any one creature that you can see within 30 feet of you, If the creature you choose has an Intelligence of 3 or lower or doesn't speak any language, the crealure is unaffected. You initially learn the surface thoughts of the creature-what is most on its mind in that moment. As an action, you can either shift your atlention lo another creature's thoughts or atlempt to probe deeper into the same creature's mind. if you probe deeper, the target must make a Wisdom saving throw. If it fails, you gain insight into its reasoning (if any), its emotional state, and something that looms large in ils mind (such as something it worries over, loves, or hates). if it succeeds, the spell ends. Either way, the target knows that you are probing into its mind, and unless you shift your atlention to another creature's thoughts, the creature can use its action on its turn to make an lntelligence check contested by your Intelligence check; if it succeeds, the spell ends. Questions verbally directed at the target creature naturally shape the course of its thoughts, so this spell is particularly effective as part of an interrogation. You can also use this spell to detect the presence of thinking creatures you can't see. When you cast the spell or as your action during the duration, you can search for thoughts within 30 feet of YOU.The spell can penetrate barriers, but 2 feet of rock, 2 inches of any metal other than lead, or a thin sheet of lead blocks you. You can't detect a creature with an lntelligence of 3 or lower or one that doesn't speak any language. Once you detecI the presence of a creature in this way, you can read its lhoughts for the rest of the duration as described above, even if you can't see it, but it must still be within range."
Dimension Door,233,Conjuration,4,1 action,500,v,Instantaneous,"You teleport yourself from your current location lo any other spot within range. You arrive at exactly the spot desired. It can be a place you can see, one you can visualize, or one you can describe by stating distance and direclion, such as ""200 feet straight downward"" or ""upward to the northwest at a 45-degree angle, 300 feet."" You can bring along objects as long as their weight doesn't exceed what you can carry. You can also bring one willing creature of your size or smaller who is carrying gear up to its carrying capacity. The creature must be within 5 feet of you when you cast this spell. If you would arrive in a place already occupied byan object or a creature, you and any creature traveling with you each take 4d6 force damage, and the spell fails to teleport you."
Disguise Self,233,Illusion,1,1 action,Self,vs,1 hour,"You make yourself-including your clothing, armor, weapons, and other belongings on your person-Iook different until the spell ends ar until you use your action to dismiss it. You can seem 1 foot shorter or taller and can appear thin, fat, or in belween. You can't change your body type, so you must adopt a form that has the same basic arrangement of limbs. Otherwise, the extent of the illusion is up to you. The changes wrought by this spell fail to hold up lo physical inspection. For example, if you use this spell to add a hat to your oUlfit, objects pass through the hat, and anyone who touches it would feel nothing or would feel your head and hair. If you use this spell to appear thinner than you are, lhe hand of someone who reaches out lOtouch you would bump into you while it was seemingly still in midair. To discern that you are disguised, a creature can use its action to inspect your appearance and must succeed on an Intelligence (Investigation) check against your spell save De."
Disintegrate,233,Transmutation,6,1 action,60,vsm(a lodestone and a pinch of dust),Instantaneous,"A thin green ray springs from your pointing finger to a target that you can see within range. The target can be a creature, an objecl, or a creation of magical force, such as the wall created by wall of force. A creature targeted by this spell must make a Dexterity saving throw. On a failed save, the target takes IOd6 + 40 force damage. If lhis damage reduces the target to O hit points, it is disintegrated. A disintegrated creature and everything il is wearing and carrying, except magic ilems, are reduced to a pile of fine gray dust. The creature can be restored to life only by means of a true resurrection or a wish spell. This spell automatically disintegrates a Large or smaller nonmagical object or a creation of magical force. if the target is a Huge or larger object or creation of force, this spell disintegrates a lO-foot-cube portion of it. A magic item is unaffecled by this spell. At Higher LeveIs. When you cast this spell using a spell slot of 7th leveI or higher, the damage increases by 3d6 for each slot levei above 6th."
Dispel Good and Evil,233,Abjuration,5,1 action,Self,vsm(holy water or powdered silver and iron),1 minute C,"Shimmering energy surrounds and protects you from fey, undead, and creatures originating from beyond the Material Plane. For the duration, celestiais, elementals, fey, fiends, and undead have disadvantage on attack rolls against you. You can end the spell early by using either of the following special functions. Break Enchantment. As your action, you touch a creature you can reach that is charmed, frightened, or possessed bya celestial, an elemental, a fey, a fiend, or an undead. The creature you touch is no longer charmed, frightened, or possessed by such creatures. DismissaI. As your action, make a melee spell attack against a celestial, an elemental, a fey, a fiend, or an undead you can reach. On a hit, you attempt to drive the creature back to its home plane. The creature must succeed on a Charisma saving throw or be sent back to its home plane (if it isn't there already). If they aren't on their home plane, undead are sent to the Shadowfell, and fey are sent to the Feywild."
